Member_number,Date,itemDescription
1808,21-07-2015,tropical fruit
2552,5/1/15,whole milk
2300,19-09-2015,pip fruit
1187,12/12/15,other vegetables
3037,1/2/15,whole milk
4941,14-02-2015,rolls/buns
4501,8/5/15,other vegetables
3803,23-12-2015,pot plants
2762,20-03-2015,whole milk
4119,12/2/15,tropical fruit
1340,24-02-2015,citrus fruit
2193,14-04-2015,beef
1997,21-07-2015,frankfurter
4546,3/9/15,chicken
4736,21-07-2015,butter
1959,30-03-2015,fruit/vegetable juice
1974,3/5/15,packaged fruit/vegetables
2421,2/9/15,chocolate
1513,3/8/15,specialty bar
1905,7/7/15,other vegetables
2810,8/9/15,butter milk
2867,12/11/15,whole milk
3962,18-09-2015,tropical fruit
1088,30-11-2015,tropical fruit
4976,17-07-2015,bottled water
4056,12/6/15,yogurt
3611,13-02-2015,sausage
1420,14-01-2015,other vegetables
4286,8/3/15,brown bread
4918,27-01-2015,yogurt
4783,22-10-2015,hamburger meat
3709,26-10-2015,root vegetables
4289,8/10/15,pork
1559,3/10/15,beef
2900,11/4/15,pastry
1905,21-02-2015,fruit/vegetable juice
3527,29-09-2015,canned beer
1495,9/1/15,root vegetables
3558,3/4/15,citrus fruit
3128,20-04-2015,sausage
1863,4/8/15,tropical fruit
3841,19-07-2015,berries
3903,6/10/15,canned beer
2658,16-10-2015,butter milk
4272,6/6/15,coffee
1120,26-09-2015,pastry
2676,15-08-2015,rolls/buns
1697,21-05-2015,misc. beverages
2507,25-08-2015,root vegetables
4620,11/3/15,sausage
3365,1/2/15,canned beer
2978,5/6/15,ham
2910,28-07-2015,turkey
1061,5/9/15,whole milk
3276,3/4/15,whole milk
1326,19-06-2015,packaged fruit/vegetables
3023,28-07-2015,rolls/buns
2185,11/10/15,ham
3552,16-06-2015,rolls/buns
1967,20-01-2015,other vegetables
4708,20-03-2015,sausage
2874,15-02-2015,sausage
4177,13-04-2015,frankfurter
1663,7/2/15,rolls/buns
2632,2/3/15,whole milk
1377,14-03-2015,curd cheese
4162,22-12-2015,red/blush wine
2270,1/7/15,sausage
4829,3/11/15,tropical fruit
3811,14-04-2015,red/blush wine
4766,29-09-2015,whole milk
2436,12/4/15,frankfurter
3860,5/5/15,whole milk
4875,12/5/15,frozen potato products
1587,1/7/15,other vegetables
4038,8/7/15,citrus fruit
4750,21-09-2015,flour
1199,10/12/15,sugar
1603,30-09-2015,frozen meals
3111,31-01-2015,chocolate
3894,13-12-2015,root vegetables
1456,18-09-2015,root vegetables
2022,4/3/15,herbs
2505,30-11-2015,bottled water
4851,20-12-2015,sausage
4293,4/8/15,coffee
2775,6/11/15,pork
3693,18-02-2015,berries
1202,22-07-2015,soda
3699,23-08-2015,berries
4152,15-04-2015,fruit/vegetable juice
4155,26-01-2015,citrus fruit
4010,29-12-2015,pork
4389,20-10-2015,detergent
3746,17-08-2015,grapes
2560,17-05-2015,sausage
1503,25-07-2015,chicken
2555,23-12-2015,whole milk
3645,12/12/15,citrus fruit
3886,11/9/15,soda
2932,20-03-2015,sausage
1711,18-06-2015,frankfurter
4291,8/12/15,sausage
1143,25-04-2015,soda
4564,8/7/15,rolls/buns
3337,14-05-2015,beef
4931,4/5/15,whole milk
